db_id,user_id,username,severity,category,reason,evidence,reporter_id
1,1334454587490439182,"the best cream (thebestcream)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1478083925925695610_0.png",685127470625980501
2,742274334785273974,"CherrySnipes (cherrysnipes_1)",high,other,"Various red flags - reported by orsokuma","No image evidence - message content: `742274334785273974`",685127470625980501
3,474780704907984906,"Emery (emery_.24)",high,other,"Various red flags - reported by orsokuma","No image evidence - message content: `474780704907984906`",685127470625980501
4,1379615381572030516,"Vanzyn🙄 (vaneassarichardson_00488)",high,other,"Various red flags - reported by collectonian","https://certifriedmultitool.com/evidence/1450642219668078767_0.png",508695212554715177
5,1230836294926733345,"𝐀𝐏𝐄𝐗 𝐅𝐔𝐒𝐈𝐎𝐍 𝐏𝐑𝐎𝐌𝐎 (apex_fusion)",high,other,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1443991201329184859_0.png",365905620060340224
6,400202288028844032,"fatmanztv (fatmanztv)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1439337084761411765_0.png",685127470625980501
7,999954938786488351,"Anne (annesoler28_)",high,other,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1436521183150604389_0.png",174920468309082113
8,663325527586635797,"𝔉𝔬xy! (foxyslyyy_)",high,other,"Various red flags - reported by foxvann","https://certifriedmultitool.com/evidence/1396157987105538148_0.png",742452227104571414
9,1209828735587586132,"Brandon Larned (aseagullow.)",high,other,"Various red flags - reported by death420","No image evidence - message content: User ID: 1209828735587586132",365905620060340224
10,337872932372086784,"Jokemern (jokemern)",high,other,"Various red flags - reported by wrench105","https://certifriedmultitool.com/evidence/1344093026343059457_0.png",805389643801034762
11,1060061384651571250,"deleted_user_20ce59d5dd15 (deleted_user_20ce59d5dd15)",high,other,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1329067142531907676_0.png",685127470625980501
